"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"January","2023","ATF","667.36","2023-05-29"
"December","2022","ATF","659.00","2023-05-29"
"November","2022","ATF","617.63","2023-05-29"
"October","2022","ATF","615.78","2023-05-29"
"September","2022","ATF","588.28","2023-05-29"
"August","2022","ATF","591.69","2023-05-29"
"July","2022","ATF","578.59","2023-05-29"
"June","2022","ATF","588.17","2023-05-29"
"May","2022","ATF","595.73","2023-05-29"
"April","2022","ATF","552.72","2023-05-29"
"March","2022","ATF","543.00","2023-05-29"
"February","2022","ATF","435.00","2023-05-29"
"January","2022","ATF","456.00","2023-05-29"
"December","2021","ATF","552.00","2023-05-29"
"November","2021","ATF","504.00","2023-05-29"
"October","2021","ATF","479.00","2023-05-29"
"September","2021","ATF","409.00","2023-05-29"
"August","2021","ATF","379.00","2023-05-29"
"July","2021","ATF","315.00","2023-05-29"
"June","2021","ATF","257.00","2023-05-29"
"May","2021","ATF","268.00","2023-05-29"
"April","2021","ATF","412.00","2023-05-29"
"March","2021","ATF","474.00","2023-05-29"
"February","2021","ATF","432.00","2023-05-29"
"January","2021","ATF","441.00","2023-05-29"
"December","2020","ATF","427.00","2023-05-29"
"November","2020","ATF","376.00","2023-05-29"
"October","2020","ATF","360.00","2023-05-29"
"September","2020","ATF","313.00","2023-05-29"
"August","2020","ATF","256.00","2023-05-29"
"July","2020","ATF","233.00","2023-05-29"
"June","2020","ATF","222.00","2023-05-29"
"May","2020","ATF","110.00","2023-05-29"
"April","2020","ATF","55.00","2023-05-29"
"January","2023","Bitumen","658.71","2023-05-29"
"December","2022","Bitumen","716.70","2023-05-29"
"November","2022","Bitumen","845.25","2023-05-29"
"October","2022","Bitumen","590.08","2023-05-29"
"September","2022","Bitumen","362.76","2023-05-29"
"August","2022","Bitumen","316.36","2023-05-29"
"July","2022","Bitumen","340.91","2023-05-29"
"June","2022","Bitumen","689.77","2023-05-29"
"May","2022","Bitumen","734.11","2023-05-29"
"April","2022","Bitumen","801.01","2023-05-29"
"March","2022","Bitumen","943.00","2023-05-29"
"February","2022","Bitumen","884.00","2023-05-29"
"January","2022","Bitumen","826.00","2023-05-29"
"December","2021","Bitumen","772.00","2023-05-29"
"November","2021","Bitumen","547.00","2023-05-29"
"October","2021","Bitumen","660.00","2023-05-29"
"September","2021","Bitumen","397.00","2023-05-29"
"August","2021","Bitumen","312.00","2023-05-29"
"July","2021","Bitumen","435.00","2023-05-29"
"June","2021","Bitumen","570.00","2023-05-29"
"May","2021","Bitumen","653.00","2023-05-29"
"April","2021","Bitumen","818.00","2023-05-29"
"March","2021","Bitumen","1012.00","2023-05-29"
"February","2021","Bitumen","853.00","2023-05-29"
"January","2021","Bitumen","821.00","2023-05-29"
"December","2020","Bitumen","856.00","2023-05-29"
"November","2020","Bitumen","717.00","2023-05-29"
"October","2020","Bitumen","640.00","2023-05-29"
"September","2020","Bitumen","415.00","2023-05-29"
"August","2020","Bitumen","270.00","2023-05-29"
"July","2020","Bitumen","414.00","2023-05-29"
"June","2020","Bitumen","751.00","2023-05-29"
"May","2020","Bitumen","590.00","2023-05-29"
"April","2020","Bitumen","187.00","2023-05-29"
"January","2023","FO & LSHS","601.05","2023-05-29"
"December","2022","FO & LSHS","622.03","2023-05-29"
"November","2022","FO & LSHS","579.44","2023-05-29"
"October","2022","FO & LSHS","592.40","2023-05-29"
"September","2022","FO & LSHS","604.33","2023-05-29"
"August","2022","FO & LSHS","616.91","2023-05-29"
"July","2022","FO & LSHS","557.56","2023-05-29"
"June","2022","FO & LSHS","550.19","2023-05-29"
"May","2022","FO & LSHS","548.23","2023-05-29"
"April","2022","FO & LSHS","521.99","2023-05-29"
"March","2022","FO & LSHS","590.00","2023-05-29"
"February","2022","FO & LSHS","530.00","2023-05-29"
"January","2022","FO & LSHS","543.00","2023-05-29"
"December","2021","FO & LSHS","566.00","2023-05-29"
"November","2021","FO & LSHS","500.00","2023-05-29"
"October","2021","FO & LSHS","559.00","2023-05-29"
"September","2021","FO & LSHS","543.00","2023-05-29"
"August","2021","FO & LSHS","517.00","2023-05-29"
"July","2021","FO & LSHS","470.00","2023-05-29"
"June","2021","FO & LSHS","504.00","2023-05-29"
"May","2021","FO & LSHS","422.00","2023-05-29"
"April","2021","FO & LSHS","517.00","2023-05-29"
"March","2021","FO & LSHS","507.00","2023-05-29"
"February","2021","FO & LSHS","476.00","2023-05-29"
"January","2021","FO & LSHS","516.00","2023-05-29"
"December","2020","FO & LSHS","529.00","2023-05-29"
"November","2020","FO & LSHS","483.00","2023-05-29"
"October","2020","FO & LSHS","480.00","2023-05-29"
"September","2020","FO & LSHS","452.00","2023-05-29"
"August","2020","FO & LSHS","458.00","2023-05-29"
"July","2020","FO & LSHS","469.00","2023-05-29"
"June","2020","FO & LSHS","466.00","2023-05-29"
"May","2020","FO & LSHS","469.00","2023-05-29"
"April","2020","FO & LSHS","283.00","2023-05-29"
"January","2023","HSD","7178.76","2023-05-29"
"December","2022","HSD","7786.43","2023-05-29"
"November","2022","HSD","7762.77","2023-05-29"
"October","2022","HSD","6985.96","2023-05-29"
"September","2022","HSD","6252.52","2023-05-29"
"August","2022","HSD","6342.57","2023-05-29"
"July","2022","HSD","6633.36","2023-05-29"
"June","2022","HSD","7673.90","2023-05-29"
"May","2022","HSD","7287.41","2023-05-29"
"April","2022","HSD","7199.19","2023-05-29"
"March","2022","HSD","7704.00","2023-05-29"
"February","2022","HSD","6511.00","2023-05-29"
"January","2022","HSD","6366.00","2023-05-29"
"December","2021","HSD","7302.00","2023-05-29"
"November","2021","HSD","6506.00","2023-05-29"
"October","2021","HSD","6616.00","2023-05-29"
"September","2021","HSD","5513.00","2023-05-29"
"August","2021","HSD","5603.00","2023-05-29"
"July","2021","HSD","6134.00","2023-05-29"
"June","2021","HSD","6195.00","2023-05-29"
"May","2021","HSD","5532.00","2023-05-29"
"April","2021","HSD","6676.00","2023-05-29"
"March","2021","HSD","7225.00","2023-05-29"
"February","2021","HSD","6569.00","2023-05-29"
"January","2021","HSD","6806.00","2023-05-29"
"December","2020","HSD","7192.00","2023-05-29"
"November","2020","HSD","7039.00","2023-05-29"
"October","2020","HSD","7001.00","2023-05-29"
